query	target	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue	bits	database
WP_144726118.1	AF-A0A397LGC9-F1-model_v6	0.983	1186	20	0	1	1186	1	1186	0.0	7425	uniprot
WP_144727317.1	AF-A0A397LFF3-F1-model_v6	0.962	1078	41	0	1	1078	11	1088	0.0	7221	uniprot
WP_144962810.1	AF-A0A559PQS1-F1-model_v6	0.995	1149	6	0	1	1149	1	1149	0.0	7087	uniprot
WP_144725007.1	AF-A3XLN7-F1-model_v6	0.536	1235	573	0	1	1235	2	1236	0.0	6268	uniprot
WP_144726492.1	AF-A0A520ZAV6-F1-model_v6	0.711	1074	310	0	4	1075	5	1078	0.0	6202	uniprot
WP_101446526.1	AF-A0A2N3T3P4-F1-model_v6	0.992	1136	9	0	1	1136	1	1136	0.0	6182	uniprot
WP_036824360.1	AF-A0A1Y0MYH4-F1-model_v6	0.881	1148	136	0	1	1148	1	1148	0.0	6067	uniprot
WP_144726062.1	AF-A0A1W6MHJ2-F1-model_v6	0.659	1087	358	0	14	1063	15	1101	0.0	5987	uniprot
WP_144726900.1	AF-A0A5B2TZP5-F1-model_v6	0.681	1021	325	0	14	1034	15	1035	0.0	5951	uniprot
WP_091895658.1	AF-A0A1Y0MYH4-F1-model_v6	0.854	1148	167	0	1	1148	1	1148	0.0	5926	uniprot
WP_144725819.1	AF-A0A9E4GZQ3-F1-model_v6	0.485	1158	591	0	538	1685	18	1175	0.0	5834	uniprot
WP_144725688.1	AF-A0A5R8MDP1-F1-model_v6	0.568	1081	466	0	6	1086	14	1092	0.0	5828	uniprot
WP_144725691.1	AF-A0A7Y5VEU5-F1-model_v6	0.553	1100	489	0	1	1095	1	1100	0.0	5780	uniprot
WP_026755330.1	AF-A0A951RMI9-F1-model_v6	0.612	1140	442	0	1	1140	10	1149	0.0	5764	uniprot
WP_036821579.1	AF-A0A951RMI9-F1-model_v6	0.597	1145	461	0	8	1152	5	1149	0.0	5613	uniprot
WP_091892605.1	AF-A0A951RMI9-F1-model_v6	0.576	1145	485	0	7	1151	5	1149	0.0	5582	uniprot
WP_144725135.1	AF-A0AA97EPY9-F1-model_v6	0.74	924	239	0	1	924	1	922	0.0	5490	uniprot
WP_051774666.1	AF-A0A951RMI9-F1-model_v6	0.59	1138	466	0	14	1151	12	1149	0.0	5432	uniprot
WP_144725475.1	AF-A0A176TFW9-F1-model_v6	0.615	931	357	0	17	947	14	941	0.0	5423	uniprot
WP_051774499.1	AF-A0A1Y0MYH4-F1-model_v6	0.718	1146	323	0	12	1157	1	1146	0.0	5411	uniprot
WP_144725254.1	AF-A0A934KMW4-F1-model_v6	0.579	1215	508	0	1	1215	1	1207	0.0	5405	uniprot
WP_089662192.1	AF-A0A1H1NWD9-F1-model_v6	0.99	811	8	0	1	811	1	811	0.0	5401	uniprot
WP_144726141.1	AF-A0A397LJ55-F1-model_v6	0.774	1071	217	0	1	960	1	1071	0.0	5331	uniprot
WP_144725114.1	AF-A0A2T4WGX9-F1-model_v6	0.633	1166	423	0	428	1581	1	1166	0.0	5312	uniprot
WP_144961404.1	AF-A0A559PMP6-F1-model_v6	1.0	802	0	0	1	802	1	802	0.0	5298	uniprot
WP_148304548.1	AF-A6ESX9-F1-model_v6	0.616	1164	442	0	1	1152	1	1164	0.0	5273	uniprot
WP_144726551.1	AF-N1WZ79-F1-model_v6	0.689	814	253	0	1	813	1	814	0.0	5265	uniprot
WP_119029751.1	AF-A0A9X3I0J4-F1-model_v6	0.685	818	257	0	1	818	15	830	1.542e-94	5139	uniprot
WP_157717374.1	AF-A0A1H1MCY7-F1-model_v6	0.993	814	6	0	1	814	1	814	0.0	5049	uniprot
WP_144724697.1	AF-A0A0A2DSA6-F1-model_v6	0.514	1066	516	0	19	1084	6	1068	0.0	5024	uniprot
WP_144963283.1	AF-A0A1I4Y7E4-F1-model_v6	0.611	839	326	0	22	860	18	855	1.587e-96	4987	uniprot
WP_144725681.1	AF-A0A9E3KGP8-F1-model_v6	0.541	1008	460	0	19	1026	20	1023	0.0	4984	uniprot
WP_144727418.1	AF-A0A1V1ZKT8-F1-model_v6	0.588	903	370	0	2	904	19	918	0.0	4935	uniprot
WP_144725932.1	AF-A0A9D9BPJ9-F1-model_v6	0.691	833	256	0	1	833	1	831	0.0	4900	uniprot
WP_144725427.1	AF-A8UHX7-F1-model_v6	0.731	811	218	0	1	811	1	810	1.142e-94	4897	uniprot
WP_119029890.1	AF-A0A959GLA5-F1-model_v6	0.533	999	463	0	3	1001	6	998	0.0	4872	uniprot
WP_144725125.1	AF-A0A521B0E2-F1-model_v6	0.771	734	168	0	40	773	297	1030	0.0	4838	uniprot
WP_038531761.1	AF-A0A516GMF6-F1-model_v6	0.688	810	252	0	1	810	1	810	1.222e-102	4816	uniprot
WP_101450273.1	AF-A0A3A9WPS4-F1-model_v6	0.676	822	266	0	1	822	1	822	1.469e-90	4760	uniprot
WP_144725056.1	AF-A3UA37-F1-model_v6	0.494	1182	584	0	122	1303	1	1156	1.171e-89	4750	uniprot
WP_144726879.1	AF-A0A3C1S1Z7-F1-model_v6	0.598	822	330	0	13	834	3	824	0.0	4742	uniprot
WP_144725425.1	AF-A0A1G6DUG2-F1-model_v6	0.659	799	272	0	1	799	1	799	2.176e-91	4721	uniprot
WP_101448315.1	AF-A0A2N3T7S2-F1-model_v6	0.947	1197	63	0	1	1197	1	1197	0.0	4690	uniprot
WP_144727154.1	AF-A0A6B3RAW9-F1-model_v6	0.597	854	340	0	9	852	6	859	2.855e-103	4597	uniprot
WP_144725713.1	AF-A0A5C7AI72-F1-model_v6	0.606	923	359	0	1	913	1	923	5.447e-95	4576	uniprot
